species	specieskey	year	month	countrycode	occurrences
Phasianus colchicus	9752149	2024	5	DE	1770
Cyanistes caeruleus	2487879	2018	8	FR	406
Phylloscopus collybita	2493091	2020	8	DE	617
Merops apiaster	2475443	2024	6	DE	145
Garrulus glandarius	5229493	2023	9	DE	1830
Pica pica	5229490	2024	2	DE	2412
Corvus corone	9409796	2023	4	FR	2954
Calidris alba	2481748	2023	1	FR	110
Thalasseus sandvicensis	2481240	2024	5	DE	131
Ardea cinerea	9797180	2022	10	DE	1625
Chloris chloris	5845582	2020	2	FR	418
Parus major	9705453	2020	12	FR	946
Puffinus puffinus	5229380	2023	9	FR	80
Parus major	9705453	2018	3	DE	743
Tringa totanus	2481714	2023	4	DE	341
Himantopus himantopus	5229126	2022	8	FR	380
Troglodytes troglodytes	5231438	2023	3	FR	1014
Chloris chloris	5845582	2023	5	DE	2719
Hippolais icterina	2493220	2023	5	FR	81
Numenius arquata	2481792	2023	12	FR	275
Vanellus vanellus	2480242	2020	5	FR	177
Emberiza citrinella	2491534	2023	11	DE	446
Linaria cannabina	8104397	2019	9	DE	142
Gallinula chloropus	5228199	2018	5	FR	211
Podiceps cristatus	2482054	2022	2	FR	429
Spinus spinus	6092830	2021	11	DE	491
Dendrocoptes medius	8773033	2020	9	DE	44
Mareca strepera	9362027	2024	12	DE	872
Anthus trivialis	2490246	2023	6	FR	234
Phylloscopus collybita	2493091	2019	7	DE	492
Sturnus vulgaris	9809229	2018	12	FR	414
Buteo buteo	2480537	2018	9	FR	396
Plegadis falcinellus	2480773	2022	4	FR	351
Lophophanes cristatus	2487883	2022	8	FR	360
Podiceps cristatus	2482054	2019	7	DE	246
Cisticola juncidis	2492822	2023	4	FR	942
Periparus ater	2487871	2023	7	DE	234
Falco tinnunculus	9616058	2019	12	DE	323
Phylloscopus inornatus	2493095	2024	10	DE	307
Podiceps grisegena	2482051	2021	5	DE	131
Alauda arvensis	8077224	2021	12	DE	53
Fringilla montifringilla	2494441	2021	12	DE	178
Emberiza schoeniclus	2491557	2019	8	DE	102
Oenanthe oenanthe	5231240	2016	4	FR	118
Troglodytes troglodytes	5231438	2016	3	FR	308
Chlidonias niger	2481119	2024	4	DE	68
Anser anser	2498036	2019	9	FR	70
Regulus regulus	2484596	2024	6	DE	357
Calidris alba	2481748	2019	10	DE	66
Falco peregrinus	2481047	2020	12	FR	59
Spatula querquedula	9274012	2016	5	FR	34
Anser brachyrhynchus	2498024	2017	11	DE	3
Melanitta nigra	2498247	2021	10	DE	164
Certhia familiaris	2487603	2024	10	FR	58
Ardea purpurea	2480934	2020	7	FR	110
Pernis apivorus	2480420	2024	6	FR	150
Coccothraustes coccothraustes	2494329	2017	5	DE	58
Mareca strepera	9362027	2021	12	FR	183
Turdus merula	2490719	2016	9	FR	317
Vanellus vanellus	2480242	2017	2	DE	53
Sylvia borin	2492942	2023	10	FR	56
Aythya ferina	2498255	2023	3	FR	210
Aythya ferina	2498255	2016	10	DE	73
Calandrella brachydactyla	2490681	2022	5	DE	6
Circus cyaneus	2480487	2024	10	FR	130
Calidris ferruginea	2481741	2023	4	FR	59
Tachybaptus ruficollis	2482048	2016	12	DE	116
Porphyrio porphyrio	2474416	2021	2	FR	12
Calidris pugnax	8250742	2020	7	FR	26
Emberiza citrinella	2491534	2016	11	DE	39
Acrocephalus scirpaceus	2493118	2017	9	FR	42
Larus fuscus	2481174	2017	10	DE	64
Tichodroma muraria	2484918	2024	3	FR	19
Aythya nyroca	2498259	2016	11	DE	5
Sylvia atricapilla	2492956	2016	11	FR	32
Eremophila alpestris	9415596	2021	5	DE	1
Perdix perdix	2473958	2024	1	DE	21
Emberiza schoeniclus	2491557	2016	12	FR	93
Picus canus	2478548	2021	1	DE	44
Coracias garrulus	2475365	2024	6	FR	102
Milvus milvus	5229168	2017	4	FR	103
Lophophanes cristatus	2487883	2018	9	FR	79
Tringa erythropus	2481725	2020	9	DE	120
Ficedula hypoleuca	2492606	2016	4	FR	90
Limosa limosa	2481685	2020	7	FR	89
Melanitta fusca	2498238	2023	2	DE	49
Poecile palustris	2487843	2020	4	DE	294
Stercorarius parasiticus	2481621	2023	6	FR	2
Puffinus gravis	5229343	2020	8	FR	15
Cepphus grylle	2481312	2024	2	DE	4
Calidris canutus	2481765	2023	5	DE	30
Melanitta nigra	2498247	2024	6	DE	7
Calidris temminckii	2481740	2020	10	FR	3
Lanius excubitor	9444556	2021	1	FR	11
Calcarius lapponicus	2491678	2022	10	FR	19
Euodice malabarica	5789082	2022	9	FR	8
Sternula albifrons	5789279	2018	6	FR	39
Corvus corax	2482492	2017	2	FR	58
Acrocephalus schoenobaenus	2493129	2022	9	FR	38
Perdix perdix	2473958	2024	8	FR	14
Alcedo atthis	2475532	2017	7	FR	80
Aythya nyroca	2498259	2023	9	DE	16
Cinclus cinclus	2495093	2023	9	DE	34
Jynx torquilla	8012314	2016	3	FR	4
Sterna paradisaea	5229230	2022	9	DE	12
Calidris canutus	2481765	2020	9	DE	47
Euodice malabarica	5789082	2024	6	FR	10
Stercorarius pomarinus	2481609	2024	5	DE	14
Gavia arctica	2481959	2022	1	FR	17
Anser albifrons	2498017	2017	10	FR	1
Himantopus himantopus	5229126	2022	12	FR	19
Aquila chrysaetos	2480506	2023	1	FR	25
Phoenicopterus chilensis	2481110	2021	8	DE	3
Emberiza cia	2491498	2016	5	DE	3
Hippolais icterina	2493220	2017	8	DE	9
Coturnix coturnix	2474156	2019	4	DE	2
Motacilla citreola	2490307	2024	6	DE	3
Fringilla montifringilla	2494441	2024	5	DE	8
Alca torda	8277073	2024	7	FR	6
Grus grus	2474950	2021	9	FR	4
Certhia familiaris	2487603	2020	3	FR	15
Sterna paradisaea	5229230	2024	9	FR	18
Athene noctua	2497266	2021	3	DE	17
Aquila chrysaetos	2480506	2017	3	FR	24
Callonetta leucophrys	2498384	2023	6	DE	5
Monticola solitarius	2490955	2017	3	FR	5
Phoenicopterus roseus	4352332	2023	6	DE	6
Calidris maritima	2481743	2024	3	FR	8
Aythya nyroca	2498259	2020	11	DE	5
Calidris canutus	2481765	2016	10	DE	5
Puffinus yelkouan	5229377	2017	6	FR	3
Threskiornis aethiopicus	2480764	2022	6	FR	5
Tringa glareola	2481713	2018	6	DE	14
Dryobates minor	9015784	2016	3	FR	29
Turdus torquatus	7865305	2018	7	FR	11
Gelochelidon nilotica	2481263	2016	5	DE	2
Cinclus cinclus	2495093	2018	4	FR	14
Pyrrhocorax pyrrhocorax	2482552	2018	6	FR	15
Calidris subruficollis	8292425	2017	9	DE	2
Spatula hottentota	9496048	2024	11	DE	6
Eudocimus ruber	5229204	2023	9	FR	2
Monticola solitarius	2490955	2016	11	FR	3
Aythya marila	2498265	2016	3	FR	7
Podiceps auritus	2482059	2024	10	FR	2
Hydrocoloeus minutus	6065841	2019	12	DE	6
Upupa epops	2498415	2019	7	DE	4
Tichodroma muraria	2484918	2017	6	FR	4
Fulmarus glacialis	2481433	2023	12	DE	1
Bombycilla garrulus	2484605	2019	2	DE	3
Remiz pendulinus	2487385	2018	9	FR	1
Fratercula arctica	2481353	2023	4	FR	4
Spatula versicolor	9305555	2020	5	DE	2
Fratercula arctica	2481353	2017	5	FR	1
Phoeniconaias minor	2481104	2017	11	FR	1
Carpodacus erythrinus	2494459	2021	10	DE	6
Phasianus versicolor	5227775	2022	3	FR	1
Circus aeruginosus	2480482	2020	11	DE	7
Anser serrirostris	7340170	2022	11	FR	1
Melopsittacus undulatus	2479798	2024	10	DE	1
Aquila chrysaetos	2480506	2020	3	DE	1
Phasianus versicolor	5227775	2019	7	FR	1
Ciconia nigra	2481909	2018	2	FR	3
Carduelis corsicana	4408961	2016	8	FR	2
Calidris temminckii	2481740	2016	10	FR	1
